institute,pig_group_unique,pig_id_unique,date,time,location,sample,context,pen_space_m2,group_weight_kg,locomotor_play,escape_events,scans_activity_coded,scans_inactive,scans_tailposture_coded,scans_tailcurled,scans_tailextended,scans_tailtucked,num_scans_tailtip_coded,scans_tailtip_right,scans_tailtip_left,scans_tailtip_center,scans_ear_coded,ear_not_coded,ear_forward,ear_backward,ear_mixed
AU,AU_1,382,01.12.2021,08:36,home pen,pre,negative,13.52,336.7,0,0,11,11,0,0,0,0,0,0,0,0,11,0,11,0,0
AU,AU_1,382,30.11.2021,08:44,home pen,pre,positive,13.52,336.7,0,0,11,0,11,11,0,0,11,4,2,5,8,3,8,0,0
AU,AU_1,667,01.12.2021,NA,home pen,pre,negative,13.52,336.7,0,0,11,0,11,11,0,0,11,7,1,3,0,NA,NA,NA,NA
AU,AU_1,667,30.11.2021,NA,home pen,pre,positive,13.52,336.7,0,0,11,0,11,11,0,0,11,11,0,0,0,NA,NA,NA,NA
AU,AU_1,668,01.12.2021,08:36,home pen,pre,negative,13.52,336.7,0,0,11,11,0,0,0,0,0,0,0,0,11,0,11,0,0
AU,AU_1,668,30.11.2021,08:44,home pen,pre,positive,13.52,336.7,0,0,11,0,11,11,0,0,11,9,1,1,7,4,7,0,0
AU,AU_1,692,01.12.2021,08:36,home pen,pre,negative,13.52,336.7,0,0,11,0,11,11,0,0,11,10,1,0,10,1,6,1,3
AU,AU_1,692,30.11.2021,08:44,home pen,pre,positive,13.52,336.7,0,0,11,0,11,11,0,0,11,9,1,1,8,3,8,0,0
AU,AU_2,648,01.12.2021,09:15,home pen,pre,negative,13.52,330,0,0,11,8,3,0,3,0,3,0,3,0,9,2,1,7,1
AU,AU_2,648,30.11.2021,09:29,home pen,pre,positive,13.52,330,0,0,11,8,3,2,1,0,3,2,0,1,11,0,5,5,1
AU,AU_2,652,01.12.2021,09:15,home pen,pre,negative,13.52,330,0,0,11,7,4,4,0,0,4,1,2,1,11,0,7,4,0
AU,AU_2,652,30.11.2021,09:29,home pen,pre,positive,13.52,330,2,0,11,1,10,10,0,0,10,8,1,1,11,0,9,0,2
AU,AU_2,653,01.12.2021,09:15,home pen,pre,negative,13.52,330,0,0,11,11,0,0,0,0,0,0,0,0,10,1,9,1,0
AU,AU_2,653,30.11.2021,09:29,home pen,pre,positive,13.52,330,0,0,11,4,7,7,0,0,7,6,0,1,11,0,10,0,1
