institute,pig_group_unique,pig_id_unique,unique_paired,date,time,location,pen_space_m2,sample,context,context2,type,violation_expectations,age_days,weight_start_kg,group_weight_kg,oxyt_pgmL,cort_ngmL,eye_IRT_max,posture_at_sampling,tail_IRT_max,tail_IRT_min,tail_IRT_average,ear_IRT_max,ear_IRT_min,ear_IRT_average,snout_IRT_max,snout_IRT_min,snout_IRT_average
AU,AU_1,382,6,30.11.2021,08:44,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,87,336.7,159.075,20.834,38.85,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,382,6,30.11.2021,09:14,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,87,336.7,91.078,13.222,36.9,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,382,5,01.12.2021,08:36,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,87,336.7,79.926,9.778,36.7,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,382,5,01.12.2021,09:06,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,87,336.7,42.415,2.402,39.3,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,668,34,30.11.2021,08:44,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,90.4,336.7,130.376,NA,39.2,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,668,34,30.11.2021,09:14,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,90.4,336.7,NA,28.578,37.95,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,668,33,01.12.2021,08:36,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,90.4,336.7,NA,4.436,37.05,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,668,33,01.12.2021,09:06,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,90.4,336.7,NA,8.614,36.9,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,692,42,30.11.2021,08:44,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,67.7,336.7,92.87,13.895,37.6,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,692,42,30.11.2021,09:14,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,67.7,336.7,98.941,4.698,37.25,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,692,41,01.12.2021,08:36,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,67.7,336.7,98.389,11.003,37.5,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_1,692,41,01.12.2021,09:06,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,67.7,336.7,88.419,7.172,37.2,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,648,27,30.11.2021,09:29,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,78.9,330,135.175,6.189,37.3,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,648,27,30.11.2021,10:01,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,78.9,330,137.744,2.896,37.5,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,648,26,01.12.2021,09:15,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,78.9,330,231.469,5.093,36.55,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,648,26,01.12.2021,09:45,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,78.9,330,64.76,3.094,37.4,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,652,29,30.11.2021,09:29,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,83.7,330,147.031,9.02,36.7,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,652,29,30.11.2021,10:01,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,83.7,330,92.74,1.727,38.15,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,652,28,01.12.2021,09:15,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,83.7,330,95.287,3.468,36.4,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,652,28,01.12.2021,09:45,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,83.7,330,64.374,2.26,38.5,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,653,31,30.11.2021,09:29,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,91.2,330,152.625,5.144,36.7,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,653,31,30.11.2021,10:01,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,91.2,330,168.952,10.169,37.9,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,653,30,01.12.2021,09:15,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,91.2,330,179.296,4.989,37.55,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_2,653,30,01.12.2021,09:45,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,91.2,330,190.716,4.452,36.65,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,622,19,30.11.2021,10:10,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,78.2,351.9,43.896,3.34,36.9,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,622,19,30.11.2021,10:40,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,78.2,351.9,61.207,4.142,37.25,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,622,18,01.12.2021,09:52,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,78.2,351.9,41.256,1.612,36.4,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,622,18,01.12.2021,10:22,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,78.2,351.9,44.853,4.384,36.9,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,626,21,30.11.2021,10:10,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,88.9,351.9,65.41,4.095,37.1,standing,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,626,21,30.11.2021,10:40,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,88.9,351.9,94.43,5.83,38.45,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,626,20,01.12.2021,09:52,home pen,13.52,pre,negative,anticipation_noreward,physical,yes,111,88.9,351.9,131.794,5.192,38.65,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_3,626,20,01.12.2021,10:22,home pen,13.52,post,negative,anticipation_noreward,physical,yes,111,88.9,351.9,NA,7.91,36.7,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,633,23,30.11.2021,10:45,home pen,13.52,pre,positive,anticipation_reward,physical,yes,110,78.9,330,80.179,6.157,38.9,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,AU_4,633,23,30.11.2021,11:15,home pen,13.52,post,positive,anticipation_reward,physical,yes,110,78.9,330,99.571,7.093,38.3,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
